"Feature"	"Measured Variable"	"Test Variable"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"	"Subset"	"Model Name"	"Reference Variable"
"g__Blautia"	"lastDiet"	"Formula"	0.063147102164306	0.0223121816543368	148	108	0.00534762969575828	0.0680218497300453	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Lactobacillus"	"symptoms"	"Resolved"	0.0699438229878441	0.0249903956610212	148	110	0.00586359215784097	0.0717162425459011	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Aggregatibacter"	"visit_age_mo"	"visit_age_mo"	0.00197603403794763	0.000709965586852408	148	15	0.0061360760822662	0.0722693405244686	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"f__Ruminococcaceae_unclsfd"	"lastDiet"	"Formula"	0.018398329068436	0.00665491568745737	148	47	0.006478302817122	0.0735750105658856	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Ruminococcus"	"lastDiet"	"Partially BF"	0.0170789345580441	0.00628989046640219	148	69	0.00746811989547074	0.0818917974744723	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Lactobacillus"	"mode_of_delivery"	"Vaginal"	-0.0531607174949024	0.0197829751282237	148	110	0.00809159266894798	0.0831090477112249	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"o__Clostridiales_unclsfd"	"lastDiet"	"Formula"	0.00720782165190419	0.00268272820825996	148	23	0.00810182540581124	0.0831090477112249	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Campylobacter"	"visit_age_mo"	"visit_age_mo"	0.0020790834643947	0.000779278787344602	148	43	0.00854511493401154	0.0849170796567397	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Enterococcus"	"lastDiet"	"Partially BF"	0.0229267259754114	0.00869956043101583	148	25	0.00936558326335482	0.0902501659923282	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Actinomyces"	"visit_age_mo"	"visit_age_mo"	-0.0115857032113858	0.0045038963280255	148	116	0.011157415304138	0.101373087620454	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Faecalibacterium"	"mode_of_delivery"	"Vaginal"	0.0351620953686127	0.0136686164967445	148	68	0.0111544719910868	0.101373087620454	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Blautia"	"symptoms"	"Resolved"	-0.0592807734604045	0.0233489617479232	148	108	0.0122293089203302	0.105105952342298	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Ruminococcus"	"lastDiet"	"Formula"	0.0156828414856791	0.00615394615439375	148	69	0.0119155241417984	0.105105952342298	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Bacteroides"	"lastDiet"	"Formula"	0.166679944502474	0.066492436070077	148	148	0.0133449943430345	0.108813030797051	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"f__Clostridiaceae_unclsfd"	"lastDiet"	"Formula"	0.0638344700905023	0.0253967255739251	148	119	0.0131038018030308	0.108813030797051	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Rothia"	"lastDiet"	"Partially BF"	-0.00702739209180185	0.0029278639504939	148	75	0.0177211318359123	0.136053114048477	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"f__Bifidobacteriaceae_unknwn"	"lastDiet"	"Formula"	-0.0470013840935497	0.019700011952057	148	24	0.0183971191952343	0.136053114048477	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Coprococcus"	"mode_of_delivery"	"Vaginal"	0.02899914784416	0.0121218224201776	148	68	0.0180897279056374	0.136053114048477	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Roseburia"	"visit_age_mo"	"visit_age_mo"	0.014648791654907	0.00613836581329786	148	52	0.0183694861277832	0.136053114048477	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Blautia"	"visit_age_mo"	"visit_age_mo"	0.0208111375484513	0.0088956557272246	148	108	0.0207456454498201	0.149934437569154	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Phascolarctobacterium"	"lastDiet"	"Partially BF"	0.00936516917700048	0.00404477019981807	148	15	0.0220669136770284	0.155939523317667	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Parabacteroides"	"mode_of_delivery"	"Vaginal"	0.0655816744912351	0.0289064463720116	148	100	0.0248349021071254	0.168414147685103	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Sutterella"	"visit_age_mo"	"visit_age_mo"	0.00581354305726403	0.00256345688592603	148	19	0.024891399186163	0.168414147685103	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Coprobacillus"	"lastDiet"	"Formula"	0.00711376488325081	0.00315274479366816	148	20	0.0256194539679962	0.169728882537975	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Lactobacillus"	"lastDiet"	"Formula"	-0.0534142603755466	0.0238807298423901	148	110	0.0269096258512737	0.171045525441244	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Blautia"	"probiotics_firstyr"	"Pro +"	0.0516516451753285	0.0231727236629059	148	108	0.0274318295518976	0.171045525441244	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Haemophilus"	"lastDiet"	"Partially BF"	-0.0517002456013515	0.0230857186865694	148	126	0.0267237895774797	0.171045525441244	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Lachnospira"	"mode_of_delivery"	"Vaginal"	0.0286068240777653	0.0131701533191556	148	46	0.0315569105746176	0.191640792233343	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Megasphaera"	"lastDiet"	"Formula"	-0.0214367327932604	0.00992688961292041	148	45	0.0325427760396244	0.191640792233343	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Anaerococcus"	"visit_age_mo"	"visit_age_mo"	-0.00882022140816959	0.00408061499555356	148	37	0.0323824353176162	0.191640792233343	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Lactobacillus"	"probiotics_firstyr"	"Pro +"	0.0531543570366693	0.0248017680242693	148	110	0.033853481591021	0.192239413320441	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"f__Ruminococcaceae_unclsfd"	"visit_age_mo"	"visit_age_mo"	0.00569349249384334	0.00265325192159416	148	47	0.0336342806837185	0.192239413320441	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Phascolarctobacterium"	"visit_age_mo"	"visit_age_mo"	0.00335794308513112	0.00157775800270519	148	15	0.0350890789056013	0.195760124420723	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"f__Bifidobacteriaceae_unknwn"	"symptoms"	"Resolved"	0.0433776437338425	0.0206154123620988	148	24	0.0371802904669972	0.203850558077674	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"o__Clostridiales_unknwn"	"probiotics_firstyr"	"Pro +"	0.053729094618936	0.0256933078487698	148	128	0.0383459818586801	0.206678342899327	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"f__Lachnospiraceae_unclsfd"	"lastDiet"	"Partially BF"	0.0580531734322895	0.0282543713659733	148	94	0.0417984339608389	0.221531699992446	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Epulopiscium"	"symptoms"	"Resolved"	0.013042626068316	0.00644016887302047	148	15	0.0447752645709689	0.226008478310605	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Faecalibacterium"	"symptoms"	"Resolved"	-0.0350010151610035	0.0172665704818625	148	68	0.0445782158674143	0.226008478310605	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__.Eubacterium."	"visit_age_mo"	"visit_age_mo"	0.00941559767291015	0.00462835647082065	148	82	0.043834110108658	0.226008478310605	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Coprococcus"	"lastDiet"	"Formula"	0.0292926977258041	0.0146326811077419	148	68	0.0472591631813905	0.232443597091931	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Ruminococcus"	"mode_of_delivery"	"Vaginal"	0.0101936641990098	0.00509797499977139	148	69	0.047512056009357	0.232443597091931	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"g__Epulopiscium"	"probiotics_firstyr"	"Pro +"	-0.0126634612841228	0.00639155844478719	148	15	0.049547485938153	0.238728795883828	"first Resolved"	"symptoms lastDiet pro (Control as reference)"	"Control"
"o__Clostridiales_unknwn"	"lastDiet"	"Formula"	0.14437379150715	0.0247391614538702	148	128	3.64272771944936e-08	5.79193707392448e-06	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Faecalibacterium"	"visit_age_mo"	"visit_age_mo"	0.03859385169239	0.00657834246570596	148	68	3.1380242552431e-08	5.79193707392448e-06	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Oscillospira"	"lastDiet"	"Formula"	0.0566576198064038	0.0102910819712668	148	77	1.73899323517085e-07	1.84333282928111e-05	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Coprococcus"	"visit_age_mo"	"visit_age_mo"	0.030479564330215	0.00583391151601867	148	68	6.30055015411257e-07	5.0089373725195e-05	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Bifidobacterium"	"lastDiet"	"Formula"	-0.297904598907691	0.0674610460619763	148	146	2.01506449974513e-05	0.00127195146643228	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Staphylococcus"	"visit_age_mo"	"visit_age_mo"	-0.0133812014408927	0.00308735030195726	148	71	2.79989316510251e-05	0.00127195146643228	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"f__Enterobacteriaceae_unknwn"	"visit_age_mo"	"visit_age_mo"	-0.076723659726171	0.0175791412161628	148	142	2.48002688500812e-05	0.00127195146643228	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Dorea"	"lastDiet"	"Formula"	0.0652839278663356	0.015206304895826	148	61	3.29676864712479e-05	0.0013104655372321	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__.Ruminococcus."	"lastDiet"	"Formula"	0.130802498661747	0.0314233630022606	148	118	5.50963840932626e-05	0.00194673890462861	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Bacteroides"	"mode_of_delivery"	"Vaginal"	0.222113651184558	0.0550828311224547	148	148	9.09390553555552e-05	0.00289186196030666	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"o__Clostridiales_unknwn"	"visit_age_mo"	"visit_age_mo"	0.038885254832422	0.00986326961133719	148	128	0.000127707979607191	0.00369192159228061	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"f__Lachnospiraceae_unknwn"	"visit_age_mo"	"visit_age_mo"	0.00940659363810175	0.00271043087486011	148	35	0.00069367894332589	0.0183824919981361	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Corynebacterium"	"visit_age_mo"	"visit_age_mo"	-0.00396297820305756	0.00115099567843916	148	42	0.00076174255187031	0.018633394730366	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Lachnospira"	"visit_age_mo"	"visit_age_mo"	0.0212781267587612	0.00633844536350071	148	46	0.00101831917379196	0.0202390935791152	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__.Ruminococcus."	"lastDiet"	"Partially BF"	0.107996976604274	0.032117523685042	148	118	0.000999560478973412	0.0202390935791152	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__.Eubacterium."	"lastDiet"	"Formula"	0.0391507119187057	0.0116088946677565	148	82	0.000966903892672096	0.0202390935791152	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Coprococcus"	"lastDiet"	"Partially BF"	0.0488325375942585	0.0149559256919687	148	68	0.00138009466699165	0.0243816724501858	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"f__Enterobacteriaceae_unknwn"	"mode_of_delivery"	"Vaginal"	-0.119745601209487	0.0365263044419591	148	142	0.00132144097269942	0.0243816724501858	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__.Ruminococcus."	"visit_age_mo"	"visit_age_mo"	0.0399341522466569	0.0125281975286081	148	118	0.00177523277820802	0.0297117907089553	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__SMB53"	"lastDiet"	"Formula"	0.0214030497846709	0.00701182678421416	148	25	0.00272385355482156	0.0433092715216628	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"f__Lachnospiraceae_unclsfd"	"lastDiet"	"Formula"	0.0824151276186242	0.0276437055527774	148	94	0.00339344234218996	0.0500626941811107	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Oscillospira"	"visit_age_mo"	"visit_age_mo"	0.0121894362402897	0.004102957016722	148	77	0.00350369563353839	0.0500626941811107	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Veillonella"	"mode_of_delivery"	"Vaginal"	-0.071144518720296	0.0240343686632031	148	144	0.00362088668605518	0.0500626941811107	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Rothia"	"lastDiet"	"Formula"	-0.00818550923106787	0.00286458360363725	148	75	0.00493190364343603	0.0653477232755274	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Blautia"	"lastDiet"	"Formula"	0.063147102164306	0.0223121816543368	148	108	0.00534762969575828	0.0680218497300453	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Lactobacillus"	"symptoms"	"Resolved"	0.0699438229878441	0.0249903956610212	148	110	0.00586359215784097	0.0717162425459011	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Aggregatibacter"	"visit_age_mo"	"visit_age_mo"	0.00197603403794763	0.000709965586852408	148	15	0.0061360760822662	0.0722693405244686	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"f__Ruminococcaceae_unclsfd"	"lastDiet"	"Formula"	0.018398329068436	0.00665491568745737	148	47	0.006478302817122	0.0735750105658856	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Ruminococcus"	"lastDiet"	"Partially BF"	0.0170789345580441	0.00628989046640219	148	69	0.00746811989547074	0.0818917974744723	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Lactobacillus"	"mode_of_delivery"	"Vaginal"	-0.0531607174949024	0.0197829751282237	148	110	0.00809159266894798	0.0831090477112249	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"o__Clostridiales_unclsfd"	"lastDiet"	"Formula"	0.00720782165190419	0.00268272820825996	148	23	0.00810182540581124	0.0831090477112249	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Campylobacter"	"visit_age_mo"	"visit_age_mo"	0.0020790834643947	0.000779278787344602	148	43	0.00854511493401154	0.0849170796567397	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Enterococcus"	"lastDiet"	"Partially BF"	0.0229267259754114	0.00869956043101583	148	25	0.00936558326335482	0.0902501659923282	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Actinomyces"	"visit_age_mo"	"visit_age_mo"	-0.0115857032113858	0.0045038963280255	148	116	0.011157415304138	0.101373087620454	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Faecalibacterium"	"mode_of_delivery"	"Vaginal"	0.0351620953686127	0.0136686164967445	148	68	0.0111544719910868	0.101373087620454	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Blautia"	"symptoms"	"Resolved"	-0.0592807734604045	0.0233489617479232	148	108	0.0122293089203302	0.105105952342298	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Ruminococcus"	"lastDiet"	"Formula"	0.0156828414856791	0.00615394615439375	148	69	0.0119155241417984	0.105105952342298	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Bacteroides"	"lastDiet"	"Formula"	0.166679944502474	0.066492436070077	148	148	0.0133449943430345	0.108813030797051	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"f__Clostridiaceae_unclsfd"	"lastDiet"	"Formula"	0.0638344700905023	0.0253967255739251	148	119	0.0131038018030308	0.108813030797051	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Rothia"	"lastDiet"	"Partially BF"	-0.00702739209180185	0.0029278639504939	148	75	0.0177211318359123	0.136053114048477	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"f__Bifidobacteriaceae_unknwn"	"lastDiet"	"Formula"	-0.0470013840935497	0.019700011952057	148	24	0.0183971191952343	0.136053114048477	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Coprococcus"	"mode_of_delivery"	"Vaginal"	0.02899914784416	0.0121218224201776	148	68	0.0180897279056374	0.136053114048477	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Roseburia"	"visit_age_mo"	"visit_age_mo"	0.014648791654907	0.00613836581329786	148	52	0.0183694861277832	0.136053114048477	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Blautia"	"visit_age_mo"	"visit_age_mo"	0.0208111375484513	0.0088956557272246	148	108	0.0207456454498201	0.149934437569154	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Phascolarctobacterium"	"lastDiet"	"Partially BF"	0.00936516917700048	0.00404477019981807	148	15	0.0220669136770284	0.155939523317667	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Parabacteroides"	"mode_of_delivery"	"Vaginal"	0.0655816744912351	0.0289064463720116	148	100	0.0248349021071254	0.168414147685103	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Sutterella"	"visit_age_mo"	"visit_age_mo"	0.00581354305726403	0.00256345688592603	148	19	0.024891399186163	0.168414147685103	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Coprobacillus"	"lastDiet"	"Formula"	0.00711376488325081	0.00315274479366816	148	20	0.0256194539679962	0.169728882537975	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Lactobacillus"	"lastDiet"	"Formula"	-0.0534142603755466	0.0238807298423901	148	110	0.0269096258512737	0.171045525441244	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Blautia"	"probiotics_firstyr"	"Pro +"	0.0516516451753285	0.0231727236629059	148	108	0.0274318295518976	0.171045525441244	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Haemophilus"	"lastDiet"	"Partially BF"	-0.0517002456013515	0.0230857186865694	148	126	0.0267237895774797	0.171045525441244	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Lachnospira"	"mode_of_delivery"	"Vaginal"	0.0286068240777653	0.0131701533191556	148	46	0.0315569105746176	0.191640792233343	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Megasphaera"	"lastDiet"	"Formula"	-0.0214367327932604	0.00992688961292041	148	45	0.0325427760396244	0.191640792233343	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Anaerococcus"	"visit_age_mo"	"visit_age_mo"	-0.00882022140816959	0.00408061499555356	148	37	0.0323824353176162	0.191640792233343	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Lactobacillus"	"probiotics_firstyr"	"Pro +"	0.0531543570366693	0.0248017680242693	148	110	0.033853481591021	0.192239413320441	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"f__Ruminococcaceae_unclsfd"	"visit_age_mo"	"visit_age_mo"	0.00569349249384334	0.00265325192159416	148	47	0.0336342806837185	0.192239413320441	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Phascolarctobacterium"	"visit_age_mo"	"visit_age_mo"	0.00335794308513112	0.00157775800270519	148	15	0.0350890789056013	0.195760124420723	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"f__Bifidobacteriaceae_unknwn"	"symptoms"	"Resolved"	0.0433776437338425	0.0206154123620988	148	24	0.0371802904669972	0.203850558077674	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"o__Clostridiales_unknwn"	"probiotics_firstyr"	"Pro +"	0.053729094618936	0.0256933078487698	148	128	0.0383459818586801	0.206678342899327	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"f__Lachnospiraceae_unclsfd"	"lastDiet"	"Partially BF"	0.0580531734322895	0.0282543713659733	148	94	0.0417984339608389	0.221531699992446	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Epulopiscium"	"symptoms"	"Resolved"	0.013042626068316	0.00644016887302047	148	15	0.0447752645709689	0.226008478310605	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Faecalibacterium"	"symptoms"	"Resolved"	-0.0350010151610035	0.0172665704818625	148	68	0.0445782158674143	0.226008478310605	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__.Eubacterium."	"visit_age_mo"	"visit_age_mo"	0.00941559767291015	0.00462835647082065	148	82	0.043834110108658	0.226008478310605	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Coprococcus"	"lastDiet"	"Formula"	0.0292926977258041	0.0146326811077419	148	68	0.0472591631813905	0.232443597091931	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Ruminococcus"	"mode_of_delivery"	"Vaginal"	0.0101936641990098	0.00509797499977139	148	69	0.047512056009357	0.232443597091931	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"g__Epulopiscium"	"probiotics_firstyr"	"Pro +"	-0.0126634612841228	0.00639155844478719	148	15	0.049547485938153	0.238728795883828	"first Resolved"	"symptoms lastDiet pro (Symptomatic as reference)"	"Symptomatic"
"o__Clostridiales_unknwn"	"lastDiet"	"Formula"	0.10083056353817	0.0192770452068545	144	108	6.34327604746193e-07	8.75372094549747e-05	"first Symptomatic"	"case lastDiet pro"	"Exclusively BF"
"g__Oscillospira"	"visit_age_mo"	"visit_age_mo"	0.0130711645948298	0.0024308078976981	144	45	3.26475503166771e-07	8.75372094549747e-05	"first Symptomatic"	"case lastDiet pro"	"visit_age_mo"
"o__Clostridiales_unknwn"	"case_id"	"AP Case"	-0.087652340261055	0.0185906755449383	144	108	5.98857199064677e-06	0.000550948623139503	"first Symptomatic"	"case lastDiet pro"	"No AP"
"f__Lachnospiraceae_unknwn"	"visit_age_mo"	"visit_age_mo"	0.0076420962366073	0.0017525294406865	144	17	2.56498222779045e-05	0.00176983773717541	"first Symptomatic"	"case lastDiet pro"	"visit_age_mo"
"g__Bacteroides"	"mode_of_delivery"	"Vaginal"	0.237583813101367	0.0606152224612592	144	143	0.000140870251855272	0.00777603790241099	"first Symptomatic"	"case lastDiet pro"	"C-section"
"g__Faecalibacterium"	"visit_age_mo"	"visit_age_mo"	0.0131859835772582	0.00350752321244729	144	53	0.000253462350536892	0.011659268124697	"first Symptomatic"	"case lastDiet pro"	"visit_age_mo"
"g__Staphylococcus"	"visit_age_mo"	"visit_age_mo"	-0.0255181006601754	0.00695579836799009	144	124	0.000350809096180577	0.0138319015065485	"first Symptomatic"	"case lastDiet pro"	"visit_age_mo"
"g__Roseburia"	"lastDiet"	"Formula"	0.0315744478002426	0.00875067135600523	144	37	0.000434157154697152	0.0149784218370517	"first Symptomatic"	"case lastDiet pro"	"Exclusively BF"
"g__Atopobium"	"visit_age_mo"	"visit_age_mo"	0.00183224875968119	0.000516166979644606	144	17	0.000532499611103341	0.0156712554270286	"first Symptomatic"	"case lastDiet pro"	"visit_age_mo"
"o__Clostridiales_unclsfd"	"visit_age_mo"	"visit_age_mo"	0.00498260527031694	0.00141102909636111	144	17	0.000567799109674949	0.0156712554270286	"first Symptomatic"	"case lastDiet pro"	"visit_age_mo"
"o__Clostridiales_unknwn"	"probiotics_firstyr"	"Pro +"	0.0635992546062007	0.0185672005105827	144	108	0.000815362869084625	0.0204581956243051	"first Symptomatic"	"case lastDiet pro"	"Pro -"
"o__Clostridiales_unknwn"	"lastDiet"	"Partially BF"	0.0727317767542349	0.0213997000374131	144	108	0.000891971679043185	0.020473382088073	"first Symptomatic"	"case lastDiet pro"	"Exclusively BF"
"g__Veillonella"	"mode_of_delivery"	"Vaginal"	-0.0998781128877846	0.0295892963678078	144	135	0.000964325967916481	0.020473382088073	"first Symptomatic"	"case lastDiet pro"	"C-section"
"g__.Eubacterium."	"visit_age_mo"	"visit_age_mo"	0.0124763146106105	0.00382526980935338	144	60	0.00140540479464275	0.0277065516658143	"first Symptomatic"	"case lastDiet pro"	"visit_age_mo"
"f__Enterobacteriaceae_unclsfd"	"case_id"	"AP Case"	0.217388311892672	0.0691368481826486	144	138	0.00205058032149331	0.0377306779154768	"first Symptomatic"	"case lastDiet pro"	"No AP"
"g__Faecalibacterium"	"lastDiet"	"Formula"	0.0268702977745896	0.00876495087717615	144	53	0.0026274431914219	0.0453233950520277	"first Symptomatic"	"case lastDiet pro"	"Exclusively BF"
"g__Haemophilus"	"lastDiet"	"Formula"	-0.0780276587175587	0.0273584847328619	144	115	0.00503291070377655	0.0817107855436663	"first Symptomatic"	"case lastDiet pro"	"Exclusively BF"
"o__Clostridiales_unknwn"	"visit_age_mo"	"visit_age_mo"	0.0215701534207575	0.00771421134903403	144	108	0.00593234028877002	0.0909625510944737	"first Symptomatic"	"case lastDiet pro"	"visit_age_mo"
"g__.Eubacterium."	"lastDiet"	"Partially BF"	0.0289376634037811	0.0106115353570894	144	60	0.00724711037102844	0.105273813810729	"first Symptomatic"	"case lastDiet pro"	"Exclusively BF"
"f__Enterobacteriaceae_unclsfd"	"probiotics_firstyr"	"Pro +"	-0.178755505569946	0.0690495468964527	144	138	0.0106942849265612	0.147581131986544	"first Symptomatic"	"case lastDiet pro"	"Pro -"
"g__Staphylococcus"	"lastDiet"	"Partially BF"	-0.0482929909171541	0.0192958154580967	144	124	0.0135246851780127	0.169673323142341	"first Symptomatic"	"case lastDiet pro"	"Exclusively BF"
